employee_id,date,time,duration,zone,wd,department
pratigan001                   ,2016-06-13,61355,0,1-1                           ,Monday              , HR                           
pyoung001                     ,2016-06-10,37588,0,2-7                           ,Friday              , Facilities                   
pyoung002                     ,2016-06-13,61260,0,1-1                           ,Monday              , Facilities                   
rfaralso001                   ,2016-06-13,60790,0,1-1                           ,Monday              , Information Technology       
rmieshaber001                 ,2016-06-13,60979,0,1-1                           ,Monday              , Administration               
rpantanal001                  ,2016-06-13,61355,0,1-1                           ,Monday              , Administration               
rparade001                    ,2016-06-13,53761,0,1-1                           ,Monday              , Facilities                   
sbagni001                     ,2016-06-13,86286,0,1-1                           ,Monday              , Information Technology       
sflecha001                    ,2016-06-13,61347,0,1-1                           ,Monday              , Information Technology       
sflorez001                    ,2016-06-13,60256,0,1-1                           ,Monday              , Information Technology       
sfusil001                     ,2016-06-13,61440,0,1-1                           ,Monday              , Security                     
slea001                       ,2016-06-13,61442,0,1-1                           ,Monday              , Security                     
slowery001                    ,2016-06-13,61630,0,1-1                           ,Monday              , Information Technology       
sparrino001                   ,2016-06-13,60345,0,1-1                           ,Monday              , Engineering                  
ssinagra001                   ,2016-06-13,60535,0,1-1                           ,Monday              , Information Technology       
tbattles001                   ,2016-06-13,60719,0,1-1                           ,Monday              , Engineering                  
tcarrara001                   ,2016-06-13,61782,0,1-1                           ,Monday              , Engineering                  
thagan001                     ,2016-06-13,61442,0,1-1                           ,Monday              , Engineering                  
tquiroz001                    ,2016-06-03,79101,0,2-6                           ,Friday              , Engineering                  
tquiroz002                    ,2016-06-13,86388,0,1-1                           ,Monday              , Engineering                  
tseifert001                   ,2016-06-13,60944,0,1-1                           ,Monday              , Administration               
tsong001                      ,2016-06-13,82596,0,1-1                           ,Monday              , Facilities                   
vawelon001                    ,2016-06-13,27523,0,1-1                           ,Monday              , Facilities                   
vfrente001                    ,2016-06-13,60417,0,1-1                           ,Monday              , Engineering                  
vhatchett001                  ,2016-06-13,60846,0,1-1                           ,Monday              , Engineering                  
vlagos001                     ,2016-06-13,61200,0,1-1                           ,Monday              , Security                     
vomalla001                    ,2016-06-13,62505,0,1-1                           ,Monday              , Engineering                  
wreynoso001                   ,2016-06-13,61205,0,1-1                           ,Monday              , Engineering                  
wvasco001                     ,2016-06-13,61670,0,1-1                           ,Monday              , Executive                    
yfinney001                    ,2016-06-13,60256,0,1-1                           ,Monday              , Engineering                  
zcoronado001                  ,2016-06-13,62107,0,1-1                           ,Monday              , Information Technology       
acalzas001                    ,2016-06-01,27780,132,1-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,27912,41,1-4                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,27953,2,2-4                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,27955,17,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,27972,4148,2-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,32120,584,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,32704,2897,2-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,35601,19,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,35620,750,2-7                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,36370,27,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,36397,1243,2-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,37640,10,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,37650,3097,2-6                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,40747,10,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,40757,1864,2-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,42621,32,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,42653,42,2-4                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,42695,2,1-4                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,42697,13,1-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,42710,3191,1-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,45901,62,1-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,45963,41,1-4                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,46004,2,2-4                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,46006,13,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,46019,4221,2-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,50240,10,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,50250,3277,2-6                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,53527,10,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,53537,1744,2-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,55281,19,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,55300,511,2-7                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,55811,18,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,55829,2331,2-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,58160,524,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,58684,3137,2-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,61821,62,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,61883,41,2-4                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,61924,2,1-4                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-01,61926,52074,1-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-02,27600,97,1-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,27697,41,1-4                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,27738,2,2-4                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,27740,17,2-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,27757,4783,2-2                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,32540,404,2-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,32944,3437,2-2                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,36381,19,2-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,36400,450,2-7                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,36850,27,2-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,36877,943,2-2                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,37820,10,2-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,37830,3815,2-6                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,41645,11,2-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,41656,665,2-2                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,42321,61,2-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,42382,42,2-4                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,42424,2,1-4                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,42426,10,1-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,42436,4005,1-2                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,46441,36,1-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,46477,41,1-4                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,46518,2,2-4                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,46520,17,2-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,46537,3703,2-2                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,50240,10,2-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,50250,3472,2-6                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,53722,11,2-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,53733,2448,2-2                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,56181,19,2-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,56200,511,2-7                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,56711,18,2-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,56729,471,2-2                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,57200,764,2-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,57964,2177,2-2                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,60141,62,2-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,60203,41,2-4                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,60244,2,1-4                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-02,60246,52434,1-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-03,26280,128,1-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,26408,41,1-4                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,26449,2,2-4                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,26451,17,2-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,26468,6132,2-2                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,32600,464,2-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,33064,3377,2-2                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,36441,19,2-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,36460,750,2-7                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,37210,27,2-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,37237,643,2-2                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,37880,10,2-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,37890,3052,2-6                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,40942,11,2-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,40953,2928,2-2                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,43881,59,2-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,43940,41,2-4                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,43981,2,1-4                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,43983,16,1-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,43999,3222,1-2                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,47221,62,1-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,47283,41,1-4                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,47324,2,2-4                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,47326,17,2-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,47343,3317,2-2                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,50660,10,2-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,50670,3215,2-6                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,53885,11,2-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,53896,2465,2-2                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,56361,19,2-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,56380,511,2-7                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,56891,18,2-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,56909,1251,2-2                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,58160,644,2-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,58804,3317,2-2                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,62121,55,2-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,62176,41,2-4                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,62217,2,1-4                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-03,62219,223381,1-1                           ,Friday              , Engineering                  
acalzas001                    ,2016-06-06,26400,66,1-1                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,26466,41,1-4                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,26507,2,2-4                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,26509,17,2-1                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,26526,5054,2-2                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,31580,464,2-1                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,32044,4457,2-2                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,36501,19,2-1                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,36520,690,2-7                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,37210,27,2-1                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,37237,703,2-2                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,37940,10,2-1                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,37950,3652,2-6                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,41602,11,2-1                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,41613,2508,2-2                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,44121,57,2-1                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,44178,41,2-4                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,44219,2,1-4                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,44221,15,1-1                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,44236,2565,1-2                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,46801,56,1-1                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,46857,41,1-4                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,46898,2,2-4                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-06,46900,17,2-1                           ,Monday              , Engineering                  
acalzas001                    ,2016-06-07,42441,17,2-1                           ,Tuesday             , Engineering                  
acalzas001                    ,2016-06-07,42458,32,2-4                           ,Tuesday             , Engineering                  
acalzas001                    ,2016-06-07,42490,2,1-4                           ,Tuesday             , Engineering                  
acalzas001                    ,2016-06-07,42492,15,1-1                           ,Tuesday             , Engineering                  
acalzas001                    ,2016-06-07,42507,3754,1-2                           ,Tuesday             , Engineering                  
acalzas001                    ,2016-06-07,46261,56,1-1                           ,Tuesday             , Engineering                  
acalzas001                    ,2016-06-07,46317,41,1-4                           ,Tuesday             , Engineering                  
acalzas001                    ,2016-06-07,46358,2,2-4                           ,Tuesday             , Engineering                  
acalzas001                    ,2016-06-07,46360,17,2-1                           ,Tuesday             , Engineering                  
acalzas001                    ,2016-06-08,32360,584,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,32944,2837,2-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,35781,19,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,35800,810,2-7                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,36610,27,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,36637,883,2-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,37520,10,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,37530,3892,2-6                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,41422,11,2-1                           ,Wednesday           , Engineering                  
zcoronado001                  ,2016-06-13,32068,5738,2-7                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,37806,3623,2-6                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,41429,1556,2-7                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,42985,49,2-1                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,43034,41,2-4                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,43075,2,1-4                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,43077,7,1-1                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,43084,3897,1-2                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,46981,11,1-1                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,46992,32,1-4                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,47024,2,2-4                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,47026,15,2-1                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,47041,3425,2-7                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,50466,3201,2-6                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,53667,2757,2-7                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,56424,544,2-1                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,56968,776,2-7                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,57744,484,2-1                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,58228,3777,2-7                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,62005,59,2-1                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,62064,41,2-4                           ,Monday              , Information Technology       
zcoronado001                  ,2016-06-13,62105,2,1-4                           ,Monday              , Information Technology       
acalzas001                    ,2016-06-08,41433,2148,2-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,43581,62,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,43643,41,2-4                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,43684,2,1-4                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,43686,7,1-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,43693,3108,1-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,46801,11,1-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,46812,32,1-4                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,46844,2,2-4                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,46846,17,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,46863,3497,2-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,50360,10,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,50370,3455,2-6                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,53825,11,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,53836,1985,2-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,55821,19,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,55840,631,2-7                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,56471,18,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,56489,831,2-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,57320,824,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,58144,3257,2-2                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,61401,62,2-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,61463,41,2-4                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,61504,2,1-4                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-08,61506,52674,1-1                           ,Wednesday           , Engineering                  
acalzas001                    ,2016-06-09,27780,93,1-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-09,27873,42,1-4                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-09,27915,2,2-4                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-09,27917,17,2-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-09,27934,3886,2-2                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-09,31820,524,2-1                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-09,32344,3137,2-2                           ,Thursday            , Engineering                  
acalzas001                    ,2016-06-09,35481,19,2-1                           ,Thursday            , Engineering                  
