timestamp prox-id floor-zone
2016-05-31 07:22:18 sflorez001 2-1
2016-05-31 07:22:18 yfinney001 2-1
2016-05-31 07:22:33 sflorez001 2-7
2016-05-31 07:22:34 yfinney001 2-2
2016-05-31 07:22:37 mcassano001 1-4
2016-05-31 07:22:37 anubarron001 1-4
2016-05-31 07:22:37 cshipp001 1-4
2016-05-31 07:22:37 rfaralso001 1-4
2016-05-31 07:22:37 avico001 1-4
2016-05-31 07:23:00 lazada001 1-1
2016-05-31 07:23:00 nbasham001 1-1
2016-05-31 07:23:00 sparrino001 1-1
2016-05-31 07:23:18 rfaralso001 2-4
2016-05-31 07:23:18 cshipp001 2-4
2016-05-31 07:23:18 avico001 2-4
2016-05-31 07:23:18 anubarron001 2-4
2016-05-31 07:23:18 mcassano001 2-4
2016-05-31 07:23:20 rfaralso001 2-1
2016-05-31 07:23:20 anubarron001 2-1
2016-05-31 07:23:20 avico001 2-1
2016-05-31 07:23:20 mcassano001 2-1
2016-05-31 07:23:20 cshipp001 2-1
2016-05-31 07:23:34 cshipp001 2-6
2016-05-31 07:23:35 rfaralso001 2-7
2016-05-31 07:23:35 mcassano001 2-7
2016-05-31 07:23:37 avico001 2-2
2016-05-31 07:23:44 anubarron001 2-2
2016-05-31 07:24:00 slowery001 1-1
2016-05-31 07:24:00 cstaley001 1-1
2016-05-31 07:24:35 lazada001 1-4
2016-05-31 07:24:35 nbasham001 1-4
2016-05-31 07:24:35 sparrino001 1-4
2016-05-31 07:25:00 korilla001 1-1
2016-05-31 07:25:16 lazada001 2-4
2016-05-31 07:25:16 nbasham001 2-4
2016-05-31 07:25:16 sparrino001 2-4
2016-05-31 07:25:18 lazada001 2-1
2016-05-31 07:25:18 nbasham001 2-1
2016-05-31 07:25:18 sparrino001 2-1
2016-05-31 07:25:37 nbasham001 2-7
2016-05-31 07:25:41 slowery001 1-4
2016-05-31 07:26:00 tbattles001 1-1
2016-05-31 07:26:00 ahafon001 1-1
2016-05-31 07:26:00 apinckney001 1-1
2016-05-31 07:26:22 slowery001 2-4
2016-05-31 07:26:24 slowery001 2-1
2016-05-31 07:26:37 korilla001 1-4
2016-05-31 07:26:39 slowery001 2-7
2016-05-31 07:27:00 monda001 1-1
2016-05-31 07:27:00 tcarrara001 1-1
2016-05-31 07:27:18 korilla001 2-4
2016-05-31 07:27:20 korilla001 2-1
2016-05-31 07:27:39 tbattles001 1-4
2016-05-31 07:27:39 apinckney001 1-4
2016-05-31 07:27:39 ahafon001 1-4
2016-05-31 07:27:42 korilla001 2-6
2016-05-31 07:28:20 apinckney001 2-4
2016-05-31 07:28:20 tbattles001 2-4
2016-05-31 07:28:20 ahafon001 2-4
2016-05-31 07:28:22 ahafon001 2-1
2016-05-31 07:28:22 apinckney001 2-1
2016-05-31 07:28:22 tbattles001 2-1
2016-05-31 07:28:35 tcarrara001 1-4
2016-05-31 07:28:35 monda001 1-4
2016-05-31 07:28:40 ahafon001 2-6
2016-05-31 07:28:41 apinckney001 2-7
2016-05-31 07:28:42 tbattles001 2-2
2016-05-31 07:29:00 csolos001 1-1
2016-05-31 07:29:16 tcarrara001 2-4
2016-05-31 07:29:16 monda001 2-4
2016-05-31 07:29:18 tcarrara001 2-1
2016-05-31 07:29:18 monda001 2-1
2016-05-31 07:29:35 monda001 2-2
2016-05-31 07:29:35 tcarrara001 2-2
2016-05-31 07:30:00 eedward001 1-1
2016-05-31 07:30:00 pratigan001 1-1
2016-05-31 07:30:00 rparade001 1-1
2016-05-31 07:30:00 wvasco001 1-1
2016-05-31 07:30:00 acampo001 1-1
2016-05-31 07:30:00 rpantanal001 1-1
2016-05-31 07:30:00 lcarrara001 1-1
2016-05-31 07:30:00 lorosco001 1-1
2016-05-31 07:30:00 cwhelan001 1-1
2016-05-31 07:30:00 jfrost001 1-1
2016-05-31 07:30:00 epavone001 1-1
2016-05-31 07:30:00 ostrum001 1-1
2016-05-31 07:30:37 csolos001 1-4
2016-05-31 07:31:00 dscozzese001 1-1
2016-05-31 07:31:18 csolos001 2-4
2016-05-31 07:31:20 csolos001 2-1
2016-05-31 07:31:35 cwhelan001 1-4
2016-05-31 07:31:35 ostrum001 1-4
2016-05-31 07:31:35 pratigan001 1-4
2016-05-31 07:31:35 lorosco001 1-4
2016-05-31 07:31:35 eedward001 1-4
2016-05-31 07:31:35 lcarrara001 1-4
2016-05-31 07:31:35 csolos001 2-7
2016-05-31 07:31:35 wvasco001 1-4
2016-05-31 07:31:35 rpantanal001 1-4
2016-05-31 07:32:00 sfusil001 1-1
2016-05-31 07:32:00 bmullen001 1-1
2016-05-31 07:32:00 fresumir001 1-1
2016-05-31 07:32:06 lorosco001 2-4
2016-05-31 07:32:06 eedward001 2-4
2016-05-31 07:32:06 cwhelan001 2-4
2016-05-31 07:32:06 ostrum001 2-4
2016-05-31 07:32:06 rpantanal001 2-4
2016-05-31 07:32:06 lcarrara001 2-4
2016-05-31 07:32:06 pratigan001 2-4
2016-05-31 07:32:06 wvasco001 2-4
2016-05-31 07:32:08 cwhelan001 2-1
2016-05-31 07:32:20 epavone001 1-4
2016-05-31 07:32:20 acampo001 1-4
2016-05-31 07:32:23 cwhelan001 2-7
2016-05-31 07:32:37 rpantanal001 3-4
2016-05-31 07:32:37 lcarrara001 3-4
2016-05-31 07:32:37 wvasco001 3-4
2016-05-31 07:32:37 eedward001 3-4
2016-05-31 07:32:37 lorosco001 3-4
2016-05-31 07:32:37 pratigan001 3-4
2016-05-31 07:32:37 ostrum001 3-4
2016-05-31 07:32:39 ostrum001 3-1
2016-05-31 07:32:39 lorosco001 3-1
2016-05-31 07:32:39 pratigan001 3-1
2016-05-31 07:32:39 rpantanal001 3-1
2016-05-31 07:32:39 eedward001 3-1
2016-05-31 07:32:39 lcarrara001 3-1
2016-05-31 07:32:39 wvasco001 3-1
2016-05-31 07:32:47 wvasco001 3-2
2016-05-31 07:32:48 rpantanal001 3-2
2016-05-31 07:32:56 eedward001 3-3
2016-05-31 07:32:56 pratigan001 3-3
2016-05-31 07:32:57 fresumir001 1-2
2016-05-31 07:33:00 junger001 1-1
2016-05-31 07:33:00 vhatchett001 1-1
2016-05-31 07:33:01 epavone001 2-4
2016-05-31 07:33:01 acampo001 2-4
2016-05-31 07:33:02 lcarrara001 3-6
2016-05-31 07:33:02 ostrum001 3-6
2016-05-31 07:33:10 ostrum001 3-3
2016-05-31 07:33:10 lcarrara001 3-3
2016-05-31 07:33:32 epavone001 3-4
2016-05-31 07:33:32 acampo001 3-4
2016-05-31 07:33:34 acampo001 3-1
2016-05-31 07:33:34 epavone001 3-1
2016-05-31 07:33:41 bmullen001 1-4
2016-05-31 07:33:46 epavone001 3-2
2016-05-31 07:33:50 junger001 1-4
2016-05-31 07:34:00 jsimonides001 1-1
2016-05-31 07:34:00 wreynoso001 1-1
2016-05-31 07:34:00 vlagos001 1-1
2016-05-31 07:34:22 junger001 2-4
2016-05-31 07:34:22 bmullen001 2-4
2016-05-31 07:34:24 junger001 2-1
2016-05-31 07:34:24 bmullen001 2-1
2016-05-31 07:34:39 junger001 2-7
2016-05-31 07:34:39 vhatchett001 1-4
2016-05-31 07:34:46 bmullen001 2-6
2016-05-31 07:35:00 bridenour001 1-1
2016-05-31 07:35:00 gcazar001 1-1
2016-05-31 07:35:20 vhatchett001 2-4
2016-05-31 07:35:22 vhatchett001 2-1
2016-05-31 07:35:36 jsimonides001 1-4
2016-05-31 07:35:36 vawelon001 1-4
2016-05-31 07:35:36 wreynoso001 1-4
2016-05-31 07:36:17 wreynoso001 2-4
2016-05-31 07:36:17 jsimonides001 2-4
2016-05-31 07:36:17 vawelon001 2-4
2016-05-31 07:36:19 vawelon001 2-1
2016-05-31 07:36:19 jsimonides001 2-1
2016-05-31 07:36:19 wreynoso001 2-1
2016-05-31 07:36:34 jsimonides001 2-7
2016-05-31 07:36:36 wreynoso001 2-2
2016-05-31 07:37:00 thagan001 1-1
2016-05-31 07:37:00 sflecha001 1-1
2016-05-31 07:37:10 gcazar001 1-4
2016-05-31 07:37:10 bridenour001 1-4
2016-05-31 07:37:10 sfusil001 1-4
2016-05-31 07:37:51 bridenour001 2-4
2016-05-31 07:37:51 sfusil001 2-4
2016-05-31 07:37:51 gcazar001 2-4
2016-05-31 07:37:53 sfusil001 2-1
2016-05-31 07:37:53 bridenour001 2-1
2016-05-31 07:37:53 gcazar001 2-1
2016-05-31 07:38:00 ncalixto001 1-1
2016-05-31 07:38:12 gcazar001 2-7
2016-05-31 07:38:12 sfusil001 2-7
2016-05-31 07:38:37 sflecha001 1-4
2016-05-31 07:38:37 thagan001 1-4
2016-05-31 07:38:44 sfusil001 2-3
2016-05-31 07:38:52 vlagos001 1-2
2016-05-31 07:39:00 acalzas001 1-1
2016-05-31 07:39:18 thagan001 2-4
2016-05-31 07:39:18 sflecha001 2-4
2016-05-31 07:39:20 thagan001 2-1
2016-05-31 07:39:20 sflecha001 2-1
2016-05-31 07:39:36 ncalixto001 1-4
2016-05-31 07:39:39 sflecha001 2-7
2016-05-31 07:39:40 thagan001 2-2
2016-05-31 07:40:00 eorilla001 1-1
2016-05-31 07:40:00 bhawelon001 1-1
2016-05-31 07:40:00 pyoung001 1-1
2016-05-31 07:40:00 vfrente001 1-1
2016-05-31 07:40:00 lgrogan001 1-1
2016-05-31 07:40:17 ncalixto001 2-4
2016-05-31 07:40:19 ncalixto001 2-1
2016-05-31 07:40:35 ncalixto001 2-7
2016-05-31 07:40:36 acalzas001 1-4
2016-05-31 07:41:00 bfrente001 1-1
2016-05-31 07:41:01 sfusil001 2-7
2016-05-31 07:41:17 acalzas001 2-4
2016-05-31 07:41:19 acalzas001 2-1
2016-05-31 07:41:25 sfusil001 2-1
2016-05-31 07:41:35 vfrente001 1-4
2016-05-31 07:41:35 lgrogan001 1-4
2016-05-31 07:41:35 bhawelon001 1-4
2016-05-31 07:41:35 eorilla001 1-4
2016-05-31 07:41:35 pyoung001 1-4
2016-05-31 07:41:36 acalzas001 2-2
2016-05-31 07:41:49 sfusil001 2-4
2016-05-31 07:42:00 malinai001 1-1
2016-05-31 07:42:00 vomalla001 1-1
2016-05-31 07:42:16 eorilla001 2-4
2016-05-31 07:42:16 vfrente001 2-4
2016-05-31 07:42:16 bhawelon001 2-4
2016-05-31 07:42:16 pyoung001 2-4
2016-05-31 07:42:16 lgrogan001 2-4
2016-05-31 07:42:18 bhawelon001 2-1
2016-05-31 07:42:18 eorilla001 2-1
2016-05-31 07:42:18 lgrogan001 2-1
2016-05-31 07:42:18 vfrente001 2-1
2016-05-31 07:42:31 vfrente001 2-2
2016-05-31 07:42:31 eorilla001 2-2
2016-05-31 07:42:31 sfusil001 1-4
2016-05-31 07:42:33 bfrente001 1-4
2016-05-31 07:42:33 sfusil001 1-1
2016-05-31 07:42:37 bhawelon001 2-7
2016-05-31 07:42:47 pyoung001 3-4
2016-05-31 07:42:49 pyoung001 3-1
2016-05-31 07:42:50 vomalla001 1-4
2016-05-31 07:42:53 malinai001 1-4
2016-05-31 07:42:54 sfusil001 1-2
2016-05-31 07:43:00 cmorluniau001 1-1
2016-05-31 07:43:00 hmies001 1-1
2016-05-31 07:43:00 eminto001 1-1
2016-05-31 07:43:02 pyoung001 3-3
2016-05-31 07:43:15 bfrente001 2-4
2016-05-31 07:43:17 bfrente001 2-1
2016-05-31 07:43:32 malinai001 2-4
2016-05-31 07:43:32 vomalla001 2-4
2016-05-31 07:43:34 malinai001 2-1
2016-05-31 07:43:34 vomalla001 2-1
2016-05-31 07:43:51 malinai001 2-2
2016-05-31 07:44:00 lalcazar001 1-1
2016-05-31 07:44:35 hmies001 1-4
2016-05-31 07:44:35 eminto001 1-4
2016-05-31 07:44:35 cmorluniau001 1-4
2016-05-31 07:45:00 llagos001 1-1
2016-05-31 07:45:00 lbergen001 1-1
2016-05-31 07:45:00 fmata001 1-1
2016-05-31 07:45:00 hblue001 1-1
2016-05-31 07:45:00 ssinagra001 1-1
2016-05-31 07:45:00 slea001 1-1
2016-05-31 07:45:00 mvollan001 1-1
2016-05-31 07:45:16 hmies001 2-4
2016-05-31 07:45:16 cmorluniau001 2-4
2016-05-31 07:45:16 eminto001 2-4
2016-05-31 07:45:18 hmies001 2-1
2016-05-31 07:45:18 eminto001 2-1
2016-05-31 07:45:18 cmorluniau001 2-1
2016-05-31 07:45:36 cmorluniau001 2-6
2016-05-31 07:45:37 hmies001 2-7
2016-05-31 07:45:37 lalcazar001 1-4
2016-05-31 07:45:38 eminto001 2-2
2016-05-31 07:46:11 hmies001 2-6
2016-05-31 07:46:15 vawelon001 2-4
2016-05-31 07:46:18 lalcazar001 2-4
2016-05-31 07:46:20 lalcazar001 2-1
2016-05-31 07:46:35 lalcazar001 2-7
2016-05-31 07:46:35 lbergen001 1-4
2016-05-31 07:46:35 hblue001 1-4
2016-05-31 07:46:35 ssinagra001 1-4
2016-05-31 07:46:35 fmata001 1-4
2016-05-31 07:46:35 llagos001 1-4
2016-05-31 07:46:57 vawelon001 1-4
2016-05-31 07:46:59 vawelon001 1-1
2016-05-31 07:47:00 jcastellanos001 1-1
2016-05-31 07:47:00 anardi001 1-1
2016-05-31 07:47:01 vlagos001 1-1
2016-05-31 07:47:12 vlagos001 1-4
2016-05-31 07:47:16 fmata001 2-4
2016-05-31 07:47:16 hblue001 2-4
2016-05-31 07:47:16 lbergen001 2-4
2016-05-31 07:47:16 llagos001 2-4
2016-05-31 07:47:16 ssinagra001 2-4
2016-05-31 07:47:18 lbergen001 2-1
2016-05-31 07:47:18 ssinagra001 2-1
2016-05-31 07:47:18 fmata001 2-1
2016-05-31 07:47:33 lbergen001 2-7
2016-05-31 07:47:33 ssinagra001 2-7
2016-05-31 07:47:47 hblue001 3-4
2016-05-31 07:47:47 llagos001 3-4
2016-05-31 07:47:49 hblue001 3-1
2016-05-31 07:47:49 llagos001 3-1
2016-05-31 07:47:54 vlagos001 2-4
2016-05-31 07:47:56 vlagos001 2-1
2016-05-31 07:48:00 jnespola001 1-1
2016-05-31 07:48:03 hblue001 3-2
2016-05-31 07:48:12 llagos001 3-6
2016-05-31 07:48:15 vlagos001 2-7
2016-05-31 07:48:20 llagos001 3-3
2016-05-31 07:48:47 vlagos001 2-3
2016-05-31 07:49:00 kherrero001 1-1
2016-05-31 07:50:00 mshultz001 1-1
2016-05-31 07:50:00 jholly001 1-1
2016-05-31 07:51:37 jholly001 1-4
2016-05-31 07:52:00 sfusil001 1-1
2016-05-31 07:52:18 jholly001 2-4
2016-05-31 07:52:20 jholly001 2-1
2016-05-31 07:52:37 jholly001 2-2
2016-05-31 07:52:38 mshultz001 1-4
2016-05-31 07:53:01 vlagos001 2-7
2016-05-31 07:53:19 mshultz001 2-4
2016-05-31 07:53:21 mshultz001 2-1
2016-05-31 07:53:25 vlagos001 2-1
2016-05-31 07:53:40 mshultz001 2-7
2016-05-31 07:53:49 vlagos001 2-4
2016-05-31 07:54:12 mshultz001 2-3
2016-05-31 07:54:31 vlagos001 1-4
2016-05-31 07:54:33 vlagos001 1-1
2016-05-31 07:54:34 jnespola001 1-4
2016-05-31 07:54:50 mvollan001 1-4
2016-05-31 07:54:51 jcastellanos001 1-4
2016-05-31 07:54:53 anardi001 1-4
2016-05-31 07:54:53 slea001 1-4
2016-05-31 07:55:00 cforluniau001 1-1
2016-05-31 07:55:00 gflorez002 1-1
2016-05-31 07:55:15 jnespola001 2-4
2016-05-31 07:55:17 jnespola001 2-1
2016-05-31 07:55:32 jnespola001 2-7
2016-05-31 07:55:32 slea001 2-4
2016-05-31 07:55:32 anardi001 2-4
2016-05-31 07:55:32 mvollan001 2-4
2016-05-31 07:55:32 jcastellanos001 2-4
2016-05-31 07:55:34 slea001 2-1
2016-05-31 07:55:34 jcastellanos001 2-1
2016-05-31 07:55:34 mvollan001 2-1
2016-05-31 07:55:34 anardi001 2-1
2016-05-31 07:55:53 jcastellanos001 2-7
2016-05-31 07:55:53 slea001 2-7
2016-05-31 07:55:53 anardi001 2-7
2016-05-31 07:55:53 mvollan001 2-7
2016-05-31 07:56:04 jnespola001 2-3
2016-05-31 07:56:25 jcastellanos001 2-3
2016-05-31 07:56:25 mvollan001 2-3
2016-05-31 07:56:25 slea001 2-3
2016-05-31 07:56:25 anardi001 2-3
2016-05-31 07:56:34 gflorez002 1-4
2016-05-31 07:56:34 cforluniau001 1-4
2016-05-31 07:56:34 kherrero001 1-4
2016-05-31 07:57:15 cforluniau001 2-4
2016-05-31 07:57:15 gflorez002 2-4
2016-05-31 07:57:15 kherrero001 2-4
2016-05-31 07:57:17 cforluniau001 2-1
2016-05-31 07:57:17 kherrero001 2-1
2016-05-31 07:57:34 vlagos001 1-8
2016-05-31 07:57:36 cforluniau001 2-7
2016-05-31 07:57:36 kherrero001 2-7
2016-05-31 07:57:58 gflorez002 3-4
2016-05-31 07:58:00 gflorez002 3-1
2016-05-31 07:58:01 fresumir001 1-1
2016-05-31 07:58:08 kherrero001 2-3
2016-05-31 07:58:18 gflorez002 3-2
2016-05-31 07:58:57 fresumir001 1-4
2016-05-31 07:59:00 rmieshaber001 1-1
2016-05-31 07:59:31 sfusil001 1-7
2016-05-31 07:59:38 fresumir001 2-4
2016-05-31 08:00:00 tseifert001 1-1
2016-05-31 08:00:00 hcocinaro001 1-1
2016-05-31 08:00:00 fadair001 1-1
2016-05-31 08:00:00 aribera001 1-1
2016-05-31 08:00:00 emintz001 1-1
2016-05-31 08:00:00 clais001 1-1
2016-05-31 08:00:00 pbeebe001 1-1
2016-05-31 08:00:00 bovan001 1-1
2016-05-31 08:00:00 ncelio001 1-1
2016-05-31 08:00:09 fresumir001 3-4
2016-05-31 08:00:11 fresumir001 3-1
2016-05-31 08:00:34 fresumir001 3-6
2016-05-31 08:00:42 fresumir001 3-3
2016-05-31 08:01:07 fadair001 1-4
2016-05-31 08:01:07 ncelio001 1-4
2016-05-31 08:01:07 aribera001 1-4
2016-05-31 08:01:07 bovan001 1-4
2016-05-31 08:01:07 pbeebe001 1-4
2016-05-31 08:01:07 tseifert001 1-4
2016-05-31 08:01:07 rmieshaber001 1-4
2016-05-31 08:01:07 clais001 1-4
2016-05-31 08:01:38 tseifert001 2-4
2016-05-31 08:01:38 bovan001 2-4
2016-05-31 08:01:38 aribera001 2-4
2016-05-31 08:01:38 rmieshaber001 2-4
2016-05-31 08:01:38 fadair001 2-4
2016-05-31 08:01:38 ncelio001 2-4
2016-05-31 08:01:38 pbeebe001 2-4
2016-05-31 08:01:38 clais001 2-4
2016-05-31 08:01:40 rmieshaber001 2-1
2016-05-31 08:01:52 emintz001 1-4
2016-05-31 08:02:00 rmieshaber001 2-2
2016-05-31 08:02:09 clais001 3-4
2016-05-31 08:02:09 bovan001 3-4
2016-05-31 08:02:09 pbeebe001 3-4
2016-05-31 08:02:09 ncelio001 3-4
2016-05-31 08:02:09 tseifert001 3-4
2016-05-31 08:02:09 aribera001 3-4
2016-05-31 08:02:09 fadair001 3-4
2016-05-31 08:02:11 tseifert001 3-1
2016-05-31 08:02:11 pbeebe001 3-1
2016-05-31 08:02:11 bovan001 3-1
2016-05-31 08:02:11 aribera001 3-1
2016-05-31 08:02:11 ncelio001 3-1
2016-05-31 08:02:11 clais001 3-1
2016-05-31 08:02:11 fadair001 3-1
2016-05-31 08:02:24 pbeebe001 3-3
2016-05-31 08:02:24 ncelio001 3-3
2016-05-31 08:02:29 bovan001 3-2
2016-05-31 08:02:33 emintz001 2-4
2016-05-31 08:03:04 emintz001 3-4
2016-05-31 08:03:06 emintz001 3-1
2016-05-31 08:03:23 emintz001 3-3
2016-05-31 08:07:05 hcocinaro001 1-4
2016-05-31 08:07:08 fresumir001 3-6
2016-05-31 08:07:15 fresumir001 3-1
2016-05-31 08:07:35 fresumir001 3-4
2016-05-31 08:07:46 hcocinaro001 2-4
2016-05-31 08:07:48 hcocinaro001 2-1
2016-05-31 08:08:03 hcocinaro001 2-7
2016-05-31 08:08:17 fresumir001 2-4
2016-05-31 08:08:19 fresumir001 2-1
2016-05-31 08:08:34 fresumir001 2-7
2016-05-31 08:08:35 hcocinaro001 2-3
2016-05-31 08:09:01 sfusil001 1-1
2016-05-31 08:09:06 fresumir001 2-3
2016-05-31 08:10:36 sfusil001 1-4
2016-05-31 08:11:17 sfusil001 2-4
2016-05-31 08:11:19 sfusil001 2-1
2016-05-31 08:11:34 sfusil001 2-7
2016-05-31 08:12:06 sfusil001 2-3
2016-05-31 08:15:30 clais001 3-3
2016-05-31 08:15:41 clais001 3-Server Room
2016-05-31 08:30:00 eklinger001 1-1
2016-05-31 08:30:16 tseifert001 3-6
2016-05-31 08:30:23 tseifert001 3-3
2016-05-31 08:31:38 eklinger001 1-4
2016-05-31 08:32:19 eklinger001 2-4
2016-05-31 08:32:50 eklinger001 3-4
2016-05-31 08:32:52 eklinger001 3-1
2016-05-31 08:33:10 eklinger001 3-2
2016-05-31 08:35:00 clais001 3-3
2016-05-31 08:35:11 clais001 3-1
2016-05-31 08:45:04 rfaralso001 2-6
2016-05-31 08:45:13 bmullen001 2-1
2016-05-31 08:45:16 csolos001 2-1
2016-05-31 08:45:20 cstaley001 1-2
2016-05-31 08:45:37 rfaralso001 2-1
2016-05-31 08:46:01 sfusil001 2-7
2016-05-31 08:46:01 fresumir001 2-7
2016-05-31 08:46:14 iovan001 2-1
2016-05-31 08:46:25 fresumir001 2-1
2016-05-31 08:46:25 sfusil001 2-1
2016-05-31 08:46:28 lbergen001 2-1
2016-05-31 08:46:49 sfusil001 2-4
2016-05-31 08:46:49 fresumir001 2-4
2016-05-31 08:47:11 monda001 2-1
2016-05-31 08:47:14 tseifert001 3-6
2016-05-31 08:47:18 wreynoso001 2-1
2016-05-31 08:47:21 tseifert001 3-1
2016-05-31 08:47:31 fresumir001 3-4
2016-05-31 08:47:31 sfusil001 3-4
2016-05-31 08:47:33 fresumir001 3-1
2016-05-31 08:47:48 fresumir001 3-6
2016-05-31 08:47:56 fresumir001 3-3
2016-05-31 08:48:14 sfusil001 2-4
2016-05-31 08:48:45 sfusil001 1-4
2016-05-31 08:48:47 sfusil001 1-1
2016-05-31 08:49:20 acalzas001 2-1
2016-05-31 08:49:25 thagan001 2-1
2016-05-31 08:49:29 eminto001 2-1
2016-05-31 08:49:40 sfusil001 1-7
2016-05-31 08:50:15 slowery001 2-1
2016-05-31 08:50:18 btempestad001 2-1
2016-05-31 08:50:23 avico001 2-1
2016-05-31 08:50:23 apinckney001 2-1
2016-05-31 08:50:28 nbasham001 2-1
2016-05-31 08:51:08 ldedos001 2-1
2016-05-31 08:51:27 ahafon001 2-1
2016-05-31 08:52:15 bmullen001 2-6
2016-05-31 08:52:15 rfaralso001 2-6
2016-05-31 08:52:25 gcazar001 2-1
2016-05-31 08:52:28 cmorluniau001 2-1
2016-05-31 08:52:47 rfaralso001 2-7
2016-05-31 08:53:17 lbennett001 2-1
2016-05-31 08:53:28 lbergen001 2-7
2016-05-31 08:54:00 cstaley001 1-1
2016-05-31 08:54:11 ncalixto001 2-1
2016-05-31 08:54:15 cstaley001 1-3
2016-05-31 08:54:20 cshipp001 2-1
2016-05-31 08:54:28 iovan001 2-7
2016-05-31 08:54:28 csolos001 2-7
2016-05-31 08:54:31 tbattles001 2-1
2016-05-31 08:55:03 korilla001 2-1
2016-05-31 08:55:04 wreynoso001 2-2
2016-05-31 08:55:09 ssinagra001 2-1
2016-05-31 08:55:23 jsimonides001 2-1
2016-05-31 08:55:24 zcoronado001 2-1
2016-05-31 08:55:29 junger001 2-1
2016-05-31 08:56:04 thagan001 2-2
2016-05-31 08:56:04 monda001 2-2
2016-05-31 08:57:07 tcarrara001 2-1
2016-05-31 08:57:17 lalcazar001 2-1
2016-05-31 08:57:25 rparade001 1-2
2016-05-31 08:57:29 yfinney001 2-1
2016-05-31 08:58:04 eminto001 2-2
